129,-44.89,-0.12,-14.83,TPOsup.L
130,-5.94,-2.32,-9.55,PAL.L
131,-26,-92.41,11.49,MOG.L
132,29.24,-67.33,46.71,SPG.R
133,-10.49,47.27,39.53,SFGmed.L
134,23.85,-12.88,67.12,SMA.R
135,14.82,14.69,6.75,CAU.R
136,-15.31,-65.63,55.43,SPG.L
137,40.24,-10.52,-4.68,HIP.R
138,21.65,-68.96,-11.87,LING.R
139,10.21,63.16,9.68,ORBsupmed.R
140,54.5,-2.8,-26.2,TPOsup.R
141,-49.85,23.54,8.77,IFGtriang.L
142,17.15,-89.05,21.65,CUN.R
143,52.94,-61.12,0.97,MTG.R
144,51.36,28.85,4.59,IFGtriang.R
145,-31.95,-20.69,-18.83,HIP.L
146,-56.93,-10.21,4.82,STG.L
147,-10.02,-74.85,40.23,CUN.L
148,-5.14,-3.62,3.43,PAL.L
149,-5.81,31.14,45.05,SFGdor.L
150,-46.81,-71.48,11.57,MOG.L
151,-44.78,27.17,25.76,IFGtriang.L
152,-5.67,-56.42,-13.17,LING.L
153,57.89,-7.12,-8.53,STG.R
154,-51.75,-13.68,39.85,PoCG.L
155,21,-11.56,-16.78,PHG.R
156,-34.55,-53.05,49.17,IPL.L
157,53.45,-11.15,38.81,PreCG.R
158,-21.5,-91.46,-12.71,IOG.L
159,-36.43,-77.53,-15.4,IOG.L
160,-5.12,20.16,-9.12,OLF.L
161,10.43,1.66,65.84,SMA.R
162,-11.49,-44.25,-24.35,FFG.L
163,9.86,-63.04,55.79,PCUN.R
164,51.47,21.25,20.57,IFGoperc.R
165,-54.16,7.63,17.26,IFGoperc.L
166,44.83,-64.45,38.91,ANG.R
167,-26.05,52.45,22.7,SFGmed.L
168,32.47,44.8,27.44,MFG.R
169,-41.06,49.43,-3.62,ORBmid.L
170,32.68,-77.53,30.34,SOG.R
171,-43.45,-37.29,48.05,IPL.L
172,27.82,-48.95,-13.61,FFG.R
173,-9.92,20.22,59.78,SMA.L
174,-7.49,-53.31,38.06,PCUN.L
175,30.17,-87.11,-11.16,IOG.R
176,-6.74,-63.43,-35.09,LING.L
177,-14.79,-74.07,-10.59,LING.L
178,26.41,1.47,-0.41,PUT.R
179,-13.91,-52.47,-1.15,LING.L
180,55.54,-28.76,43.37,SMG.R
181,45.09,13.89,-23.93,TPOsup.R
182,-10.15,1.05,65.85,SMA.L
183,-27.69,57.69,4.46,ORBmid.L
184,-47.23,5.41,2.14,INS.L
185,43.76,-24.49,15.59,HES.R
186,12.05,43.28,45.44,SFGdor.R
187,13.22,21.65,59.11,SFGdor.R
188,-18.96,-52.15,64.79,SPG.L
189,-27.56,-57.52,-13.72,LING.L
190,15.41,-33.36,-21.91,FFG.R
191,-21.96,30.71,46.93,SFGdor.L
192,-5.65,-78.09,-24.7,LING.L
193,14.61,56.78,28.83,SFGmed.R
194,-5.04,-29.33,-18.52,PHG.L
195,-4.89,-88.44,-14.22,CAL.L
196,-46.67,14.4,-11.95,TPOsup.L
197,-6.89,-52.89,57.22,PCUN.L
198,30.61,-0.73,-36.67,AMYG.R
199,-15.53,-29.77,-19.43,PHG.L
200,-43.09,-30.86,14.82,HES.L
